"Phone Name","Current Price"
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","9,499"
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","10,499"
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","10,499"
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","12,499"
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","12,499"
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","10,499"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","15,999"
"SAMSUNG Galaxy M32 (Black, 128 GB)","14,611"
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","16,599"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","15,999"
"SAMSUNG Guru Music 2","1,994"
"SAMSUNG GURU GT","1,550"
"SAMSUNG GURU MUSIC 2","1,994"
"SAMSUNG Guru Music 2","1,994"
"SAMSUNG Guru Music 2","1,994"
"SAMSUNG Guru Music 2 SM-B315E","1,994"
"SAMSUNG Galaxy M12 (White, 64 GB)","11,200"
"SAMSUNG GURU GT","1,749"
"SAMSUNG Galaxy M12 (Blue, 64 GB)","10,285"
"SAMSUNG GURU 1200","1,494"
"SAMSUNG Galaxy M32 (Light Blue, 64 GB)","13,500"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","14,999"
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","15,999"
"SAMSUNG GT-E1215","1,494"
